FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
154,2022-04-27,Falcon 9,6692.520170454546,SSO,KSC LC 39A,True ASDS,4.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,6.0,B1052,-80.6039558,28.6080585
155,2022-04-29,Falcon 9,6692.520170454546,ISS,CCSFS SLC 40,True ASDS,12.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1051,-80.577366,28.5618571
156,2022-05-06,Falcon 9,15600.0,PO,KSC LC 39A,True ASDS,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1061,-80.6039558,28.6080585
157,2022-05-13,Falcon 9,6692.520170454546,LEO,VAFB SLC 4E,True ASDS,5.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,8.0,B1062,-120.610829,34.632093
158,2022-05-14,Falcon 9,12519.0,ISS,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,3.0,B1071,-80.577366,28.5618571
159,2022-05-18,Falcon 9,13260.0,LEO,KSC LC 39A,True ASDS,12.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.6039558,28.6080585
160,2022-05-25,Falcon 9,670.0,TLI,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,5.0,B1067,-80.577366,28.5618571
161,2022-06-08,Falcon 9,13260.0,PO,CCSFS SLC 40,True ASDS,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8.0,B1062,-80.577366,28.5618571
162,2022-06-01,Falcon 9,330.0,LEO,KSC LC 39A,True ASDS,12.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,13.0,B1058,-80.6039558,28.6080585
163,2022-06-18,Falcon 9,13260.0,PO,VAFB SLC 4E,True ASDS,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,-120.610829,34.632093
164,2022-06-19,Falcon 9,3500.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,2.0,B1073,-80.577366,28.5618571
165,2022-06-29,Falcon 9,6692.520170454546,ISS,CCSFS SLC 40,True ASDS,5.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,6.0,B1052,-80.577366,28.5618571
166,2022-07-07,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True RTLS,8.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,9.0,B1061,-80.577366,28.5618571
167,2022-07-11,Falcon 9,6692.520170454546,LEO,VAFB SLC 4E,True ASDS,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,8.0,B1062,-120.610829,34.632093
168,2022-07-15,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,13.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,12.0,B1060,-80.6039558,28.6080585
169,2022-07-17,Falcon 9,2240.0,SSO,CCSFS SLC 40,True RTLS,3.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,3.0,B1071,-80.577366,28.5618571
170,2022-07-21,Falcon 9,6692.520170454546,LEO,VAFB SLC 4E,True ASDS,9.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1061,-120.610829,34.632093
171,2022-07-24,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,2.0,B1073,-80.577366,28.5618571
172,2022-08-04,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,13.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13.0,B1058,-80.577366,28.5618571
173,2022-08-09,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,-80.6039558,28.6080585
174,2022-08-12,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True ASDS,5.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,5.0,B1067,-120.610829,34.632093
175,2022-08-19,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,13.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1051,-80.577366,28.5618571
176,2022-08-28,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1071,-80.6039558,28.6080585
177,2022-08-31,Falcon 9,6692.520170454546,SSO,VAFB SLC 4E,True ASDS,8.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,8.0,B1062,-120.610829,34.632093
178,2022-09-05,Falcon 9,6692.520170454546,ISS,CCSFS SLC 40,True ASDS,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,6.0,B1052,-80.577366,28.5618571
179,2022-09-11,Falcon 9,6692.520170454546,LEO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,2.0,B1073,-80.6039558,28.6080585
180,2022-09-17,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,10.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1061,-80.577366,28.5618571
181,2022-09-24,Falcon 9,6692.520170454546,ISS,CCSFS SLC 40,True ASDS,9.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,8.0,B1062,-80.577366,28.5618571
182,2022-10-05,Falcon 9,13260.0,VLEO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,1.0,B1069,-80.6039558,28.6080585
183,2022-11-01,Falcon Heavy,13260.0,VLEO,KSC LC 39A,True ASDS,7.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,6.0,B1063,-80.6039558,28.6080585
184,2022-10-20,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,7.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,6.0,B1052,-80.577366,28.5618571
185,2022-10-08,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,14.0,True,True,True,5e9e3033383ecb075134e7cd,5.0,13.0,B1058,-80.577366,28.5618571
186,2022-10-15,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True ASDS,6.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,5.0,B1067,-80.577366,28.5618571
187,2022-11-03,Falcon 9,6692.520170454546,SSO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,0.0,B1072,-80.577366,28.5618571
188,2022-11-08,Falcon 9,3938.0,GEO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,0.0,B1077,-80.577366,28.5618571
189,2022-11-15,Falcon 9,13260.0,VLEO,CCSFS SLC 40,None None,1.0,True,False,True,,5.0,0.0,B1064,-80.577366,28.5618571
190,2022-11-22,Falcon 9,2200.0,SSO,CCSFS SLC 40,None None,1.0,True,False,True,,5.0,0.0,B1065,-80.577366,28.5618571
191,2022-11-18,Falcon 9,700.0,LEO,KSC LC 39A,None None,1.0,True,False,True,,5.0,0.0,B1066,-80.6039558,28.6080585
192,2022-11-01,Falcon 9,3500.0,MEO,CCSFS SLC 40,None None,,,,,,,,,-80.577366,28.5618571
193,2022-11-01,Falcon 9,13260.0,VLEO,CCSFS SLC 40,None None,,True,False,True,,,,,-80.577366,28.5618571
194,2022-12-05,Falcon 9,13260.0,VLEO,VAFB SLC 4E,None None,,True,False,True,,,,,-120.610829,34.632093
195,2022-11-01,Falcon 9,6692.520170454546,ISS,CCSFS SLC 40,None None,,True,False,True,,,,,-80.577366,28.5618571
196,2022-12-01,Falcon 9,13260.0,VLEO,CCSFS SLC 40,None None,,True,False,True,,,,,-80.577366,28.5618571
197,2022-12-01,Falcon 9,13260.0,VLEO,VAFB SLC 4E,None None,,True,False,True,,,,,-120.610829,34.632093
198,2022-12-01,Falcon 9,13260.0,VLEO,CCSFS SLC 40,None None,,True,False,True,,,,,-80.577366,28.5618571
199,2022-12-01,Falcon Heavy,678.0,TLI,KSC LC 39A,None None,,True,False,True,,,,,-80.6039558,28.6080585
200,2022-12-01,Falcon 9,13260.0,VLEO,CCSFS SLC 40,None None,,,,,,,,,-80.577366,28.5618571
